0, 24
1, 14
2, 7
3, 17
4, 4
5, 11
6, 7
7, 4
8, 11
9, 10
10, 8
11, 8
12, 3
13, 4
14, 4
15, 3
16, 3
17, 6
18, 3
19, 2
20, 5
21, 4
22, 1
23, 1
24, 2
25, 1
26, 1
27, 1
28, 1
30, 1
31, 2
32, 4
33, 3
34, 1
37, 1
38, 1
40, 2
41, 3
42, 1
45, 1
46, 2
48, 1
49, 2
51, 1
52, 1
54, 1
55, 1
56, 2
60, 2
61, 1
62, 1
63, 2
66, 1
68, 2
69, 1
70, 1
72, 1
73, 1
75, 1
79, 1
83, 1
87, 1
88, 1
91, 1
96, 1
98, 1
100, 1
125, 1
126, 1
137, 1
148, 1
157, 1
162, 1
166, 1
200, 1
206, 1
290, 1
304, 1
524, 1
808, 1
1476, 1
avg, 31.6878
