0, 50
1, 199
2, 181
3, 71
4, 28
5, 83
6, 23
7, 15
8, 14
9, 13
10, 3
11, 5
12, 2
13, 10
14, 1
16, 2
17, 2
21, 1
26, 1
35, 1
